codigo;lote;descripcion;almacen;stock_actual;fecha_inicio
550045885;NAR-TRI-310PBL22;SHELL HELIX HX5 20W-50 SN 6x1L;000001;3225;2022-07-15
550045885;NAR-TRI-310PBL22;SHELL HELIX HX5 20W-50 SN 6x1L;000001;0;2022-07-15
40926905;NAR-TRI-257PBL22;SHELL HELIX HX8 PRO AG 0W-20 EXPO 12x1L;000001;1406;2022-06-10
550043380;NAR-CUA-477PBL21;SHELL TURBO S4 GX 32 1x55GAL;000001;48;2021-11-03
550049041;NAR-CIR-096PBL22;SHELL HELIX HX8 PRO AG 0W-20 LATA 3x4L;000001;2141;2020-01-01
43509809;NAR-CIR-079PBL20;SHELL HELIX HX5 15W-40 SL TB 209L;000001;163;2020-01-01
550027265;MOR-TRI-577PBL22;SHELL CORENA S4 P 100 1x20L;000001;25;2022-12-29
550026697;MOR-TRI-451PBL22;SHELL HYDRAULIC S1 M 68 1x5GAL;000001;840;2022-10-20
550026699;MOR-TRI-451PBL22;SHELL HYDRAULIC S1 M 68 1x55GAL;000001;87;2022-10-20
550026699;MOR-TRI-451PBL22;SHELL HYDRAULIC S1 M 68 1x55GAL;000001;48;2022-10-20
550026699;MOR-TRI-451PBL22;SHELL HYDRAULIC S1 M 68 1x55GAL;000001;96;2022-10-20
550026699;MOR-TRI-451PBL22;SHELL HYDRAULIC S1 M 68 1x55GAL;000001;96;2022-10-20
550026699;MOR-TRI-451PBL22;SHELL HYDRAULIC S1 M 68 1x55GAL;000004;9;2022-10-20
6560500055;MOR-TRI-451PBL22;SHELL TURBO T OIL 68 1x55GAL;000001;48;2022-10-20
550026300;MOR-TRI-450PBL22;SHELL CORENA S4 R 68 1x5GAL;000001;210;2022-10-19
550026697;MOR-TRI-450PBL22;SHELL HYDRAULIC S1 M 68 1x5GAL;000001;420;2022-10-19
550026900;MOR-TRI-450PBL22;SHELL SPIRAX S4 CX 30 1x55GAL;000001;21;2022-10-19
550026907;MOR-TRI-450PBL22;SHELL SPIRAX S4 CX 50 1x55GAL;000001;32;2022-10-19
550027265;MOR-TRI-450PBL22;SHELL CORENA S4 P 100 1x20L;000001;210;2022-10-19
550057742;MOR-TRI-450PBL22;SHELL HELIX ULTRA 5W-40 6x1L;000001;1750;2022-10-19
45312905;MOR-TRI-432PBL22;SHELL ADVANCE 4T AX5 20W-50 SL/MA CX 12x1L;000001;1760;2022-10-11
45312905;MOR-TRI-431PBL22;SHELL ADVANCE 4T AX5 20W-50 SL/MA CX 12x1L;000001;1760;2022-10-11
550026697;MOR-TRI-422PBL22;SHELL HYDRAULIC S1 M 68 1x5GAL;000001;630;2022-10-14
550026697;MOR-TRI-422PBL22;SHELL HYDRAULIC S1 M 68 1x5GAL;000001;529;2022-10-14
550050052;MOR-TRI-422PBL22;SHELL SPIRAX S6 ATF X 6x1L;000001;1569;2022-10-14
550025731;MOR-TRI-421PBL22;SHELL HEAT TRANSFER S2 1x209L;000001;48;2022-10-15
550045853;MOR-TRI-421PBL22;SHELL HELIX HX5 20W-50 SN 3x4L;000001;362;2022-10-11
550045853;MOR-TRI-421PBL22;SHELL HELIX HX5 20W-50 SN 3x4L;000001;1680;2022-10-15
6560200055;MOR-TRI-421PBL22;SHELL TURBO OIL T 32 1x55GAL;000001;58;2022-10-15
6560300055;MOR-TRI-421PBL22;SHELL TURBO OIL T 46 1x55GAL;000001;18;2022-10-15
550045853;MOR-TRI-420PBL22;SHELL HELIX HX5 20W-50 SN 3x4L;000001;1680;2022-10-14
550045885;MOR-TRI-400PBL22;SHELL HELIX HX5 20W-50 SN 6x1L;000001;3325;2022-09-21
550045885;MOR-TRI-400PBL22;SHELL HELIX HX5 20W-50 SN 6x1L;000001;3325;2022-09-21
550045885;MOR-TRI-400PBL22;SHELL HELIX HX5 20W-50 SN 6x1L;000001;3325;2022-09-21
550045885;MOR-TRI-400PBL22;SHELL HELIX HX5 20W-50 SN 6x1L;000001;3325;2022-09-21
