codigo;descripcion;almacen;lote;stock;fecha
550050706;SHELL GADUS S2 V220AC 2 1x18KG;000001;BLA-TRI-492PBL22;293;2022-11-24
45372905;SHELL SPIRAX S2 A 85W-140 12x1L EXPO;000001;BLA-TRI-491PBL22;3;2022-11-16
45387905;SHELL SPIRAX S2 A 80W-90 12x1L EXPO;000001;BLA-TRI-491PBL22;161;2022-11-16
550045853;SHELL HELIX HX5 20W-50 SN 3x4L;000001;BLA-TRI-464PBL22;3360;2022-11-09
550049771;SHELL NAUTILUS PREMIUM OUTB 2T 6x1L;000001;BLA-TRI-464PBL22;1563;2022-11-09
550026699;SHELL HYDRAULIC S1 M 68 1x55GAL;000001;BLA-TRI-463PBL22;216;2022-11-10
6560500055;SHELL TURBO T OIL 68 1x55GAL;000001;BLA-TRI-463PBL22;48;2022-11-10
550026834;SHELL REFRIGERATION OIL S2 FR-A 68 1x55GAL;000001;BLA-CUA-106PBL22;32;2022-03-18
550025731;SHELL HEAT TRANSFER S2 1x209L;000001;BLA-CUA-050PBL22;48;2022-03-11
45312905;SHELL ADVANCE 4T AX5 20W-50 SL/MA CX 12x1L;000001;BLA-CUA-046PBL22;621;2022-03-05
550025692;SHELL REFRIGERATION OIL S2 FR-A 68 1x20L;000001;BLA-CIR-106PBL22;1476;2020-01-01
550025692;SHELL REFRIGERATION OIL S2 FR-A 68 1x20L;000004;BLA-CIR-106PBL22;31;2020-01-01
550057742;SHELL HELIX ULTRA 5W-40 6x1L;000001;AZU-TRI-298PBL22;1406;2022-06-28
550045885;SHELL HELIX HX5 20W-50 SN 6x1L;000001;AZU-TRI-297PBL22;0;2022-06-29
6560500055;SHELL TURBO T OIL 68 1x55GAL;000001;AZU-TRI-252PBL22;39;2022-06-14
550043380;SHELL TURBO S4 GX 32 1x55GAL;000001;AZU-CUA-260PBL21;50;2021-07-13
550052775;SHELL ALEXIA 70 1x55GAL;000001;AZU-CUA-259PBL21;35;2021-07-13
550036183;SHELL MYSELLA S3 N 40 1x55GAL;000001;AZU-CUA-247PBL21;12;2021-07-02
550036571;SHELL MYSELLA S2 Z 40 1x55GAL;000001;AZU-CUA-247PBL21;12;2021-07-02
550052774;SHELL ALEXIA 40 1x55GAL;000001;AZU-CUA-247PBL21;10;2021-07-02
550054547;SHELL ARGINA S2 40 1x55GAL;000001;AZU-CUA-247PBL21;50;2021-07-02
550036571;SHELL MYSELLA S2 Z 40 1x55GAL;000001;AZU-CUA-00000599;67;2020-12-16
550036571;SHELL MYSELLA S2 Z 40 1x55GAL;000004;AZU-CUA-00000599;5;2020-12-16
45312905;SHELL ADVANCE 4T AX5 20W-50 SL/MA CX 12x1L;000001;AZU-CIR173PBL22;1760;2022-04-29
550045415;SHELL TELLUS S2 MX 68 1x5GAL;000001;AMA-TRI-058PBL23;184;2023-03-08
550045436;SHELL RIMULA R4 X 15W-40 3x4L;000001;AMA-TRI-058PBL23;8;2023-03-08
550049814;SHELL SPIRAX S3 ATF MD3 6x1L;000001;AMA-TRI-058PBL23;700;2023-03-08
550053426;SHELL HELIX HX5 20W-50 SN 1x209L;000001;AMA-TRI-058PBL23;24;2023-03-08
550056833;SHELL SPIRAX S5 CVT X 12x1L;000001;AMA-TRI-058PBL23;109;2023-03-08
550026902;SHELL SPIRAX S4 TXM 1x55GAL;000001;AMA-TRI-052PBL23;74;2023-03-01
550045901;SHELL HELIX HX5 15W-40 SN 6x1L;000001;AMA-TRI-052PBL23;6650;2023-03-01
550052774;SHELL ALEXIA 40 1x55GAL;000001;AMA-CUA-441PBL21;12;2021-10-06
550054547;SHELL ARGINA S2 40 1x55GAL;000001;AMA-CUA-441PBL21;48;2021-10-06
550022488;SHELL MELINA S 30 1x55GAL;000001;AMA-CUA-395PBL21;3;2021-11-12
550047079;SHELL ARGINA S4 40 1x55GAL;000001;AMA-CUA-395PBL21;19;2021-11-12
550054547;SHELL ARGINA S2 40 1x55GAL;000001;AMA-CUA-358PBL21;48;2021-10-07
45312905;SHELL ADVANCE 4T AX5 20W-50 SL/MA CX 12x1L;000001;AMA-CUA-144PBL22;1756;2022-04-22
550047075;SHELL GADINIA S3 40 1x55GAL;000001;AMA-CUA-129PBL22;96;2022-04-22
43592855;SHELL SPIRAX S2 A 90 1x20L;000001;AMA-CUA-125PBL22;422;2022-04-27
45312905;SHELL ADVANCE 4T AX5 20W-50 SL/MA CX 12x1L;000001;AMA-CUA-123PBL22;1760;2022-04-23
45312905;SHELL ADVANCE 4T AX5 20W-50 SL/MA CX 12x1L;000001;AMA-CUA-113PBL22;1760;2022-04-26
550032121;SHELL RISELLA X 415 1x209L;000001;AMA-CIR-048PBL21;40;2021-04-05
QC18560R14;QUALID 185/60R14 CITADINO;000002;572PBL22;1;2023-01-23
QC19560R15;QUALID 195/60R15 CITADINO;000003;572PBL22;18;2023-01-23
QU18565R14;QUALID 185/65 R14 URBANO;000002;572PBL22;2586;2023-01-23
AOT185R14;AOTELI 185/65R14 P307;000002;571PBL22;127;2023-01-25
AOT185R14;AOTELI 185/65R14 P307;000003;571PBL22;12;2023-01-25
QVU12R225;QUALID 12R22.5 18PR VULCANO;000002;571PBL22;246;2023-01-25
QPD29580;QUALID 295/80R22.5 18 PR PREDATOR;000002;544PBL22;110;2023-01-10
QC-1036;FORD EXPLORER;000004;536PBL22;50;2022-03-15
QC-1120;TOYOTA HILUX / FORTUNER;000004;536PBL22;939;2022-03-15
QC-618;CHEVROLET CORSA / LUV D-MAX/ MONTANA/ MERIVA;000001;536PBL22;1046;2022-03-15
QC-618;CHEVROLET CORSA / LUV D-MAX/ MONTANA/ MERIVA;000004;536PBL22;50;2022-03-15
QC-7729;FIAT SIENA / PALIO (TODOS );000004;536PBL22;239;2022-03-15
QC-9292;FIESTA POWER 4L, 1.6 LT (00-07), ECOSPORT 4L, 1.6 (04-05) Y 2.0 LT (04-05), MAZDA 2;000001;536PBL22;1150;2022-03-15
QC-9292;FIESTA POWER 4L, 1.6 LT (00-07), ECOSPORT 4L, 1.6 (04-05) Y 2.0 LT (04-05), MAZDA 2;000004;536PBL22;391;2022-03-15
DK1856514;DOUBLE KING 185/65R14 DK298;000002;500PBL22;2;2022-11-21
DK1856514;DOUBLE KING 185/65R14 DK298;000003;500PBL22;1;2022-11-21
QA-1111;CHERY ORINOCO 4L 1.8L (AUTOMÁTICO);000004;489PBL21;528;2022-02-01
QAB70028X915;QUALID 28X-9-15 16PR AB700;000002;457PBL22;8;2022-12-29
QAB7005008;QUALID 5.00-8 10PR AB700;000002;457PBL22;20;2022-12-29
QAB7006009;QUALID 6.00-9 12 PR AB700;000002;457PBL22;28;2022-12-29
QAB70065010;QUALID 6.50-10 12PR AB700;000002;457PBL22;19;2022-12-29
QAB70070012;QUALID 7.00-12 12PR AB700;000002;457PBL22;38;2022-12-29
QAE80317525;QUALID 17.5-25 24PR AE803;000002;457PBL22;1;2022-12-29
QAE80320525;QUALID 20.5-25 24PR AE803;000002;457PBL22;2;2022-12-29
QAE804140024;14.00-24 36PR AE804;000002;457PBL22;16;2022-12-29
