"id";"id_categoria";"id_brand";"id_umbral";"codigo";"referencia";"descripcion";"cantidad";"tipo"
"118";"4";"6";"1";"QA-9687";"QA-9687";"FORD EXPEDITION EDDIE PICK-UP F-SERIES SUPER DUTY (TODOS)";"0";""
"119";"4";"6";"1";"QA-9902";"QA-9902";"CHEVROLET AVEO (TODOS)";"0";""
"120";"6";"6";"1";"QAB70028X915";"QAB70028X915";"QUALID 28X-9-15 16PR AB700";"0";""
"121";"6";"6";"1";"QAB7005008";"QAB7005008";"QUALID 5.00-8 10PR AB700";"0";""
"122";"6";"6";"1";"QAB7006009";"QAB7006009";"QUALID 6.00-9  12 PR AB700";"0";""
"123";"6";"6";"1";"QAB70065010";"QAB70065010";"QUALID 6.50-10 12PR AB700";"0";""
"124";"6";"6";"1";"QAB70070012";"QAB70070012";"QUALID 7.00-12 12PR AB700";"0";""
"125";"3";"1";"2";"QAC-L";"QAC-L";"QUALID ABRILLANTADOR DE CAUCHOS 12x1L";"0";""
"126";"6";"6";"1";"QAE80317525";"QAE80317525";"QUALID 17.5-25 24PR AE803";"0";""
"127";"6";"6";"1";"QAE80320525";"QAE80320525";"QUALID 20.5-25 24PR AE803";"0";""
"128";"6";"6";"1";"QAE80323525";"QAE80323525";"QUALID 23.5-25 24PR AE803";"0";""
"129";"6";"6";"1";"QAE80326525";"QAE80326525";"QUALID 26.5-25 32PR AE803";"0";""
"130";"6";"6";"1";"QAE804140024";"QAE804140024";" 14.00-24 36PR AE804";"0";""
"131";"6";"6";"1";"QAE80623126";"QAE80623126";"QUALID 23.1-26 16PR AE806";"0";""
"132";"6";"6";"1";"QAL70210165";"QAL70210165";"QUALID 10-16.5 12PR AL702";"0";""
"133";"6";"6";"1";"QAL70212165";"QAL70212165";"QUALID 12-16.5 14PR AL702";"0";""
"134";"6";"6";"1";"QAT28570R17";"QAT28570R17";"QUALID LT285/70R17 ALL TERRAIN Q01";"0";""
"135";"6";"6";"1";"QAT28575R16";"QAT28575R16";"QUALID LT285/75R16 ALL TERRAIN Q01";"0";""
"136";"6";"6";"1";"QBD29580";"QBD29580";"QUALID 295/80R22.5 18 PR BULLDOG";"0";""
"137";"6";"6";"1";"QBD31580";"QBD31580";"QUALID 315/80R22.5 20PR  BULLDOG";"0";""
"138";"4";"6";"1";"QC-1010";"QC-1010";"TOYOTA COROLLA 1.6 / 1.8 VVL-I";"0";""
"139";"4";"6";"1";"QC-1036";"QC-1036";"FORD EXPLORER";"0";""
"140";"4";"6";"1";"QC-1083";"QC-1083";"FORD F150/ FX4/ F350";"0";""
"141";"4";"6";"1";"QC-1100";"QC-1100";"TOYOTA PRADO, 4RUNNER, FJ CRUISER";"0";""
"142";"4";"6";"1";"QC-1120";"QC-1120";"TOYOTA HILUX / FORTUNER";"0";""
"143";"4";"6";"1";"QC-2";"QC-2";"FILTRO UNIVERSAL";"0";""
"144";"4";"6";"1";"QC-3583";"QC-3583";"JEEP CJ SERIES / WAGONEER / WRANGLER (CON RETORNO)";"0";""
"145";"4";"6";"1";"QC-3641";"QC-3641";"DODGE PICK-UP RAM 2500. JEEP COMANCHE / CHEROKEE / WRANGLER";"0";""
"146";"4";"6";"1";"QC-3727";"QC-3727";"CHEVROLET BLAZER / C - 1500 / CHEYENNE / CELEBRITY / CORVETTE / GRAND BLAZER / 2WD / 4WD / LUMINA / C10";"0";""
"147";"4";"6";"1";"QC-3802";"QC-3802";"FORD BRONCO PICO CORTO";"0";""
"148";"4";"6";"1";"QC-3850";"QC-3850";"FORD BRONCO / EXPLORER / F-150 / F-350";"0";""
"149";"4";"6";"1";"QC-5010";"QC-5010";"TOYOTA STARLET, ARAYA, SKY, COROLLA CARBURADO";"0";""
"150";"4";"6";"1";"QC-5110";"QC-5110";"TOYOTA HILUX (INYECCIÓN)";"0";""
"151";"4";"6";"1";"QC-511A";"QC-511A";"VOLKSWAGEN, GOL / GOLF/ CROSSFOX / FOX/ SPACE FOX / POLO/ BORA";"0";""
"152";"4";"6";"1";"QC-5961";"QC-5961";"RENAULT MEGANE, SCENIC, TWINGO, LOGAN, KANGOO, SYMBOL";"0";""
"153";"4";"6";"1";"QC-618";"QC-618";"CHEVROLET CORSA / LUV D-MAX/ MONTANA/ MERIVA";"0";""
"154";"4";"6";"1";"QC-619";"QC-619";"CHEVROLET OPTRA / AVEO / CAPTIVA (TESTIGO)";"0";""
"155";"4";"6";"1";"QC-645A";"QC-645A";"CHEVROLET BLAZER (ROSCA PICO)";"0";""
"156";"4";"6";"1";"QC-6680";"QC-6680";"HYUNDAI SONATA . TOYOTA 4 RUNNER / MERÚ / PRADO";"0";""
"157";"4";"6";"1";"QC-7110";"QC-7110";"CHERY ORINOCO / ARAUCA / X1 / TIGGER / TIUNA";"0";""
"158";"4";"6";"1";"QC-7194";"QC-7194";"MITSUBISHI ECLIPSE / LANCER / MF / MONTERO / MX . TOYOTA CAMRY / CELICA / PASEO";"0";""
"159";"4";"6";"1";"QC-7612";"QC-7612";"TOYOTA COROLLA 1.8/1.6 (1994-2008)";"0";""
"160";"4";"6";"1";"QC-7729";"QC-7729";"FIAT SIENA / PALIO (TODOS )";"0";""
"161";"4";"6";"1";"QC-9292";"QC-9292";"FIESTA POWER 4L, 1.6 LT (00-07), ECOSPORT 4L, 1.6 (04-05) Y 2.0 LT (04-05), MAZDA 2";"0";""
"162";"4";"6";"1";"QC-986";"QC-986";"FORD EXPLORER / FORTALEZA / RANGER";"0";""
"163";"4";"6";"1";"QC-991";"QC-991";"FORD EXPLORER 1999-2002 / SPORT TRAC";"0";""
"164";"6";"6";"1";"QC18560R14";"QC18560R14";"QUALID 185/60R14 CITADINO";"0";""
"165";"6";"6";"1";"QC19560R15";"QC19560R15";"QUALID 195/60R15 CITADINO";"0";""
"166";"5";"6";"1";"QD-10224";"QD-10224";"FORD RANGER, MAZDA BT50 W/ 2.2L AND 3.2L DIESEL, TOYOTA HILUX 2.5 DIESEL / MITSUBISHI L200";"0";""
"167";"5";"6";"1";"QD-10231";"QD-10231";"TOYOYA LAND CRUISER DIESEL 70, HZJ7, 200, 202";"0";""
"168";"5";"6";"1";"QD-10372";"QD-10372";"TOYOTA DYNA TURBO";"0";""
"169";"5";"6";"1";"QD-10379";"QD-10379";"MITSUBISHI HINO 3.5T 155 195 FUEL FILTER ELEMENT OE 23304-78091  TOYOTA DYNA (23304-78090)";"0";""
"170";"5";"6";"1";"QD-10416";"QD-10416";"MITSUBISHI, HINO, ISUZU, CHEVROLET FVR, TOYOTA DYNA 4.0";"0";""
"171";"5";"6";"1";"QD-33166";"QD-33166";"JHON DEER / INGERSOLL RAND / MASSEY FERGUSON";"0";""
"172";"5";"6";"1";"QD-33218";"QD-33218";"MACK 673 / 675 / 676 SECUNDARIO";"0";""
"173";"5";"6";"1";"QD-33219";"QD-33219";"MACK 673 / 675 / 676 PRIMARIO";"0";""
"174";"5";"6";"1";"QD-33242";"QD-33242";"TRAMPA CARGO 1721";"0";""
"175";"5";"6";"1";"QD-33260";"QD-33260";"DAEWOO, HITACHI EQUIPMENT; HINO, ISUZU TRUCKS; KAWASAKI LOADERS";"0";""
"176";"5";"6";"1";"QD-33386";"QD-33386";"CHEVROLET NPR / NKR";"0";""
"177";"5";"6";"1";"QD-33393";"QD-33393";"CHEVROLET NPR / NKR / ENCAVA";"0";""
"178";"5";"6";"1";"QD-33399";"QD-33399";"MITSUBISHI FUSO CANTER";"0";""
"179";"5";"6";"1";"QD-33587";"QD-33587";"MACK GRANITE Y VISION";"0";""
"180";"5";"6";"1";"QD-33588";"QD-33588";"MACK GRANITE Y VISION";"0";""
"181";"5";"6";"1";"QD-33742";"QD-33742";"CAT EQUIPMENT (CARTEPILLAR ENGINES)";"0";""
"182";"5";"6";"1";"QD-33777";"QD-33777";"TRAMPA CUMMINS";"0";""
"183";"4";"6";"1";"QD-6904";"QD-6904";"CHEVROLET NPR / NKR";"0";""
"184";"4";"6";"1";"QD-6905";"QD-6905";"CHEVROLET NPR / NKR / ENCAVA";"0";""
"185";"5";"6";"1";"QD-8429";"QD-8429";"TOYOTA HILUX / HIACE / TACOMA";"0";""
"186";"3";"2";"14";"QDI-T";"QDI-T";"QUALID DESENGRASANTE INDUSTRIAL 14";"0";""
"187";"3";"1";"6";"QDM-G";"QDM-G";"QUALID DESENGRASANTE MULTIPROPOSITO 4x3.785L";"0";""
"188";"3";"1";"2";"QDM-L";"QDM-L";"QUALID DESENGRASANTE MULTIPROPOSITO 12x1L";"0";""
"189";"3";"2";"14";"QDM-T";"QDM-T";"QUALID DESENGRASANTE MULTIPROPOSITO 14";"0";""
"190";"3";"1";"7";"QDOT3-290";"QDOT3-290";"QUALID LIQUIDO DE FRENOS DOT 3 12x290ML";"0";""
"191";"3";"1";"8";"QDOT3-946";"QDOT3-946";"QUALID LIQUIDO DE FRENOS DOT 3 12x946ML";"0";""
"192";"3";"1";"7";"QDOT4-290";"QDOT4-290";"QUALID LIQUIDO DE FRENOS DOT 4 12x290ML";"0";""
"193";"3";"1";"8";"QDOT4-946";"QDOT4-946";"QUALID LIQUIDO DE FRENOS DOT 4 12x946ML";"0";""
"194";"3";"1";"9";"QEO-350";"QEO-350";"QUALID ELEVADOR DE OCTANAJE 12x350ML";"0";""
"195";"3";"1";"6";"QFM-G";"QFM-G";"QUALID FORMULA MARINA 4x3.785L";"0";""
"196";"3";"1";"2";"QFM-L";"QFM-L";"QUALID FORMULA MARINA 12x1L";"0";""
"197";"3";"2";"14";"QFM-T";"QFM-T";"QUALID FORMULA MARINA 14";"0";""
"198";"4";"6";"1";"QL-10060";"QL-10060";"CHEVROLET EXPRESS VAN/ AVALANCHE / TAHOE/  SILVERADO. DODGE CALIBER. JEEP LIBERTY KK/ COMPASS";"0";""
"199";"4";"6";"1";"QL-10158";"QL-10158";"TOYOTA 4RUNNER 2010-2021 / TUNDRA V6 4.OL 2012-2014";"0";""
"200";"4";"6";"1";"QL-10295";"QL-10295";"TOYOTA TUNDRA 2010-2021 / LAND CRUISER 2008-2021/ SEQUOIA 2001-2021";"0";""
"201";"4";"6";"1";"QL-10358";"QL-10358";"TOYOTA COROLLA 2013-2018";"0";""
"202";"4";"6";"1";"QL-10575";"QL-10575";"FORD EXPLORER 2011-2021 / F150 2011-2021 / JEEP CHEROKEE LIBERTY 2008 -2014";"0";""
"203";"4";"6";"1";"QL-13";"QL-13";"CHEVROLET GRAND BLAZER / 2WD / 4WD / C-1500 / C30 / C3500 / GMC YUKON / PICK-UPS (TODAS) / SILVERADO";"0";""
"204";"4";"6";"1";"QL-16";"QL-16";"DODGE INTREPID / PICK-UP RAM 2500 / SPIRIT / STRATUS / CARAVAN / DURANGO / CIRRUS";"0";""
"205";"4";"6";"1";"QL-2";"QL-2";"FORD TRITON 8CIL / EXPEDITION V8 / ESCAPE 3.0L / EXPLORER SPORT / SPORT TRAC/ JEEP GRAND CHEROKEE 2010-2013";"0";""
"206";"4";"6";"1";"QL-2004";"QL-2004";"TOYOTA PRADO/ HILUX/ FORTUNER / 4RUNNER HASTA 2009. DONGFENG RICH 6";"0";""
"207";"4";"6";"1";"QL-3387";"QL-3387";"CHEVROLET AVEO (TODOS) /  OPTRA (TODOS) / CORSA (TODOS). FIAT PALIO 1.8 (2005-2009) / SIENA 1.8 (2005-2009). DAEWOO CIEL";"0";""
"208";"4";"6";"1";"QL-3600";"QL-3600";"FORD FIESTA (TODOS) / RANGER / FOCUS. JEEP CHEROKEE LIBERTY 2007. MAZDA B-2300 /B-2500";"0";""
"209";"4";"6";"1";"QL-3614";"QL-3614";"CHERY ARAUCA A1 / X1, CHEVROLET GRAND VITARA (TODAS) / JIMNY. FORD ECOSPORT";"0";""
"210";"4";"6";"1";"QL-3690";"QL-3690";"CHEVROLET NPR / NKR / ENCAVA";"0";""
"211";"4";"6";"1";"QL-3807";"QL-3807";"CHEVROLET LUV D-MAX (TODAS). HONDA ACCORD / CIVIC / FIT / LEGEND / ODISSEY. HYUNDAI ACCENT / ELANTRA / TUCSON / GETZ";"0";""
"212";"4";"6";"1";"QL-3980";"QL-3980";"CHEVROLET BLAZER / CELEBRITY / CORSICA / CORVETTE / IMPALA / LUMINA / C10";"0";""
"213";"4";"6";"1";"QL-4558";"QL-4558";"FIAT BRAVA / PALIO / PREMIO / SIENA / UNO / FORZA";"0";""
"214";"4";"6";"1";"QL-4967";"QL-4967";"TOYOTA CAMRY / CELICA / COROLLA / SKY / STARLET / TERIOS / YARIS. DAEWOO MATIZ / TICO. CHEVROLET SPARK(TODOS)";"0";""
"215";"4";"6";"1";"QL-5103";"QL-5103";"CHERY ORINOCO (A3)";"0";""
"216";"4";"6";"1";"QL-5113";"QL-5113";"RENAULT CLIO / GALA / KANGOO / TWINGO 1.2L / MEGANE / LOGAN / SCENIC";"0";""
"217";"5";"6";"1";"QL-51429";"QL-51429";"IVECO EUROCARGO";"0";""
"218";"5";"6";"1";"QL-51431";"QL-51431";"FIAT IVECO DAILY TURBO";"0";""
"219";"5";"6";"1";"QL-51602";"QL-51602";"FORD CARGO 815 MOTOR CUMMINS 3.9L";"0";""
"220";"5";"6";"1";"QL-51649";"QL-51649";"CHEVROLET FVR / FTR / FSR";"0";""
